sektor,kelurahan,kecamatan,wilayah_kota,alamat,latitude,longitude,Keterangan
I,Cipulir,Kebayoran Lama,Jakarta Selatan,"Depan SESKOAL, Jl. Ciledug Raya",-6.238087,106.772017,
I,Cipulir,Kebayoran Lama,Jakarta Selatan,"Depan POS Pemadam Cipulir, Jl. Ciledug Raya",-6.237955,106.76773,
I,Cipulir,Kebayoran Lama,Jakarta Selatan,"Depan Perguruan Muhammadiyah, Jl. Panjang Cidodol",-6.234554,106.771973,
I,Cipulir,Kebayoran Lama,Jakarta Selatan,"Komplek Lemigas, Jl. Panjang Cidodol Hook",-6.237936,106.767287,Tertutup Pohon
I,Grogol Utara,Kebayoran Lama,Jakarta Selatan,"Depan Masjid Asirot, Jl. Asirot",-6.225498,106.777707,
I,Grogol Utara,Kebayoran Lama,Jakarta Selatan,"Depan Apotik, Jl. Asirot Depan Rumah No. 26A",-6.225593,106.774952,
I,Grogol Utara,Kebayoran Lama,Jakarta Selatan,"Depan Toko Dewi / Rmh F1-1C, Jl. Kemandoran VIII ",-6.2107408,106.7843843,Tertutup Taman
I,Grogol Utara,Kebayoran Lama,Jakarta Selatan,"Depan  Masjid Al-Azhar, Jl. Kemandoran Raya",-6.210731,106.790205,
I,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,"Univ. Moestopo, Jl. Simpruk ",-6.229284,106.796412,Tertutup Warung K5
I,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,Jl. Kebayoran Lama / Jl. Limo,-6.224979,106.7785,
I,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,"Depan Pertokoan Pasir Bata Putih, Jl. Kebayoran Lama ",-6.235118,106.784576,
I,Grogol Selatan,Kebayoran Lama,Jakarta Selatan,Jl. Kebayoran Lama Hook / Jl. H. Jiban,-6.23366,106.780392,Tertutup Warung K5
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Masjid Agung, Jl. Ciputat Raya ",-6.31065,106.747258,As Dol
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Rumah No. 26, Jl. Metro Pondok Indah",-6.281372,106.78039,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,Gd. Hijau Raya / Jl. Bukit Hijau No. 9,-6.279712,106.779159,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Jl. Kartika Utama Hook, Jl. Alam Elok No. 8",-6.265139,106.78168,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Fed Ex, Jl. Ciputat Raya",-6.280198,106.772294,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Pabrik AQUA, Jl. Ciputat Raya Hook / Jl. Goden",-6.267862,106.774966,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Puskesmas, Jl. Ciputat Raya Dekat Jl. Kenanga",-6.249753,106.778049,Tutup Meter & Mangkok Hilang 
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Metro Pondok Indah, Jl. Tb. Simatupang",-6.288012,106.777946,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,Jl. Gedung Hijau I Dekat Jalan Bukit Hijau I,-6.276602,106.776463,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Kantor Pemadam, Jl. Pasar Jumat",-6.289206,106.775036,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Depan Pondok Pinang Centre, Jl. Ciputat Raya ",-6.273549,106.773966,
I,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,"Pasar Pondok Indah Sebrang Kantor Pajak, Jl. Ciputat Raya ",-6.26066,106.77618,
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Depan Masjid Al-Ahyar, Jl. Kramat I",-6.234558,106.784831,
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Depan Pos Pemadam Tanah Kusir, Jl. Ciputat Raya",-6.250081,106.778098,
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Jl. Tanah Kusir Sebrang, Jl. Nimun Raya",-6.253154,106.773685,Mangkok Hilang 2 Buah
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Jl. Ciputat Raya, Jl. Pelita",-6.251305,106.778268,
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Dekat Rel Kereta, Jl. Bendi Depan Rumah No. 34",-6.248627,106.773817,Rehab Tahun 2012
I,Kebayoran Lama Utara,Kebayoran Lama,Jakarta Selatan,"Samping SMA 47, Jl. Delman Utama",-6.247523,106.772719,
I,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,"Jl. Ciputat Raya, Dekat Jl. Kodam",-6.256413,106.777455,Mangkok Hilang 2 Buah
I,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,"Depan TB. BERDIKARI, Jl. Ciputat Raya ",-6.243845,106.78054,
I,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,Jl. KH.M. Safii Hook / Jl. Dukuh,-6.24576,106.784769,
I,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,"Jl. St. Iskandar Muda, Dekat Jl. Bungur II",-6.247703,106.781357,Tertutup Warung
I,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,Jl. St. Iskandar Muda Kostrad,-6.256061,106.781723,
I,Kebayoran Lama Selatanatan,Kebayoran Lama,Jakarta Selatan,"Depan Graha Ismoyo, Jl. St. Iskandar Muda ",-6.252092,106.781654,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Depan Puskesmas Kebayoran Baru, Jl. St. Iskandarsyah",-6.247183,106.80572,Rehab Tahun 2013
II,Melawai,Kebayoran Baru,Jakarta Selatan,Jl. Sultan Hasanudin Sebrang Kejaksaan Agung,-6.241714,106.798564,Rencana Pembangunan MRT
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Pintu Masuk Carrefour Blok M, Jl. St. Iskandarsyah ",-6.245882,106.802517,BolaBola Macet
II,Melawai,Kebayoran Baru,Jakarta Selatan," Depan Asrama PTIK, Jl. Wijaya",-6.245917,106.807223,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Jl. Panglima Polim IX, Sebrang Alfamidi",-6.249708,106.799471,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Prapatan Wijaya, Jl. Woltermongunsidi",-6.238834,106.815292,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Jl. Tirtayasa Hook, Jl. Iskandarsyah I",-6.244716,106.805021,"As Dol, Tutup Meteran Hilang"
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Depan Peruri, Jl. Faletehan",-6.240788,106.800847,"As Macet,BolaBola Macet"
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Depan Ex SPBU, Jl. Melawai Raya",-6.245878,106.801438,BolaBola Macet
II,Melawai,Kebayoran Baru,Jakarta Selatan,Jl. Woltermangunsidi Hook / Jl. Cikajang,-6.239006,106.810987,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Jl. Woltermangunsidi, Sebrang STM Penerbangan  ",-6.239133,106.80812,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Depan SMP 12, Jl. Wijaya IX",-6.249727,106.802909,
II,Melawai,Kebayoran Baru,Jakarta Selatan,"Jl. Panglima Polim, Hook / Jl. Benda I",-6.25056,106.797391,Rencana Pembangunan MRT
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan GOR, Jl. Bulungan",-6.242354,106.796121,As Macet
II,Kramat Pela,Kebayoran Baru,Jakarta Selatan,"Depan Optik Melawai, Jl. Melawai ",-6.245901,106.797706,
